# requirement_level_code	M	M	M	R	O	O	R	O	M	M	O	O	O	O	M	M	O	O	O	M	M	M	R	R	R	HR	HR	HR	HR	HR	O	O	O	R	R	R	O	O	O	HR	HR	R	R	HR	R	HR	HR	HR	HR	R	R	R	O	O	HR	HR	R	R	HR	HR	R	R	R	R	R	O	O	R	O	M	O	R	R	R	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O
# section	Sample information	Sample information	Sample information	Sample relations	Sample relations	Sample relations	Sample relations	Sample relations	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	PCR	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined
samp_name	samp_category	neg_cont_type	pos_cont_type	materialSampleID	sample_derived_from	sample_composed_of	rel_cont_id	biological_rep_relation	decimalLongitude	decimalLatitude	verbatimLongitude	verbatimLatitude	verbatimCoordinateSystem	verbatimSRS	geo_loc_name	eventDate	eventDurationValue	verbatimEventDate	verbatimEventTime	env_broad_scale	env_local_scale	env_medium	habitat_natural_artificial_0_1	samp_collect_method	samp_collect_device	samp_size	samp_size_unit	samp_store_temp	samp_store_sol	samp_store_dur	samp_store_loc	dna_store_loc	samp_store_method_additional	samp_mat_process	filter_passive_active_0_1	stationed_sample_dur	pump_flow_rate	pump_flow_rate_unit	prefilter_material	size_frac_low	size_frac	filter_diameter	filter_surface_area	filter_material	filter_name	precip_chem_prep	precip_force_prep	precip_time_prep	precip_temp_prep	prepped_samp_store_temp	prepped_samp_store_sol	prepped_samp_store_dur	prep_method_additional	date_ext	samp_vol_we_dna_ext	samp_vol_we_dna_ext_unit	nucl_acid_ext_lysis	nucl_acid_ext_sep	nucl_acid_ext	nucl_acid_ext_kit	nucl_acid_ext_modify	dna_cleanup_0_1	dna_cleanup_method	concentration	concentration_unit	concentration_method	ratioOfAbsorbance260_280	pool_dna_num	nucl_acid_ext_method_additional	assay_name	samp_weather	minimumDepthInMeters	maximumDepthInMeters	tot_depth_water_col	elev	temp	chlorophyll	light_intensity	ph	ph_meth	salinity	suspend_part_matter	tidal_stage	turbidity	water_current	solar_irradiance	wind_direction	wind_speed	diss_inorg_carb	diss_inorg_carb_unit	diss_inorg_nitro	diss_inorg_nitro_unit	diss_org_carb	diss_org_carb_unit	diss_org_nitro	diss_org_nitro_unit	diss_oxygen	diss_oxygen_unit	tot_diss_nitro	tot_diss_nitro_unit	tot_inorg_nitro	tot_inorg_nitro_unit	tot_nitro	tot_nitro_unit	tot_part_carb	tot_part_carb_unit	tot_org_carb	tot_org_carb_unit	tot_org_c_meth	tot_nitro_content	tot_nitro_content_unit	tot_nitro_cont_meth	tot_carb	tot_carb_unit	part_org_carb	part_org_carb_unit	part_org_nitro	part_org_nitro_unit	nitrate	nitrate_unit	nitrite	nitrite_unit	nitro	nitro_unit	org_carb	org_carb_unit	org_matter	org_matter_unit	org_nitro	org_nitro_unit	ammonium	ammonium_unit	carbonate	carbonate_unit	hydrogen_ion	hydrogen_ion_unit	nitrate_plus_nitrite	nitrate_plus_nitrite_unit	omega_arag	pco2	pco2_unit	phosphate	phosphate_unit	pressure	pressure_unit	silicate	silicate_unit	tot_alkalinity	tot_alkalinity_unit	transmittance	serial_number	line_id	station_id	ctd_cast_number	ctd_bottle_number	replicate_number	extract_id	extract_plate	extract_well_number	extract_well_position	biosample_accession	organism	samp_collect_notes	dna_conc	dna_conc_unit	dna_yield	dna_yield_unit
GOMECC4_27N_Sta1_Deep_A	sample			GOMECC4_27N_Sta1_Deep					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1920	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1920	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		618	618	628		7.479	0.0308		7.849		34.946								2215.45	µmol/kg							129.44	µmol/kg																					29.3256	µmol/kg	0.00391	µmol/kg									0.25971	µmol/kg	88.434	µmol/kg	1.42E-08	M	29.3295	µmol/kg	1.168	624	µatm	1.94489	µmol/kg	623	dbar	20.3569	µmol/kg	2318.9	µmol/kg	4.7221	GOMECC4_001	27N	Sta1	not provided	3	A	Plate4_52	GOMECC2021_Plate4	52	D7	SAMN37516091	seawater metagenome	DCM = deep chlorophyl max.	0.08038	ng/µl	12.057	ng
GOMECC4_27N_Sta1_Deep_B	sample			GOMECC4_27N_Sta1_Deep					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1940	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1940	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		618	618	628		7.479	0.0308		7.849		34.946								2215.45	µmol/kg							129.44	µmol/kg																					29.3256	µmol/kg	0.00391	µmol/kg									0.25971	µmol/kg	88.434	µmol/kg	1.42E-08	M	29.3295	µmol/kg	1.168	624	µatm	1.94489	µmol/kg	623	dbar	20.3569	µmol/kg	2318.9	µmol/kg	4.7221	GOMECC4_002	27N	Sta1	not provided	3	B	Plate4_60	GOMECC2021_Plate4	60	D8	SAMN37516092	seawater metagenome	DCM was around 80 m and not well defined.	0.1141	ng/µl	17.115	ng
GOMECC4_27N_Sta1_Deep_C	sample			GOMECC4_27N_Sta1_Deep					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	2000	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	2000	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		618	618	628		7.479	0.0308		7.849		34.946								2215.45	µmol/kg							129.44	µmol/kg																					29.3256	µmol/kg	0.00391	µmol/kg									0.25971	µmol/kg	88.434	µmol/kg	1.42E-08	M	29.3295	µmol/kg	1.168	624	µatm	1.94489	µmol/kg	623	dbar	20.3569	µmol/kg	2318.9	µmol/kg	4.7221	GOMECC4_003	27N	Sta1	not provided	3	C	Plate4_62	GOMECC2021_Plate4	62	F8	SAMN37516093	seawater metagenome	Surface CTD bottles did not fire correctly; hand niskin bottle used for the surface cast. PM cast.	0.07223	ng/µl	10.8345	ng
GOMECC4_27N_Sta1_DCM_A	sample			GOMECC4_27N_Sta1_DCM					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1540	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1540	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		49	49	628		28.592	0.036		8.027		36.325								2033.19	µmol/kg							193.443	µmol/kg																					0	µmol/kg	0	µmol/kg									0.32968	µmol/kg	229.99	µmol/kg	9.40E-09	M	0	µmol/kg	3.805	423	µatm	0.0517	µmol/kg	49	dbar	1.05635	µmol/kg	2371	µmol/kg	4.665	GOMECC4_004	27N	Sta1	not provided	14	A	Plate4_53	GOMECC2021_Plate4	53	E7	SAMN37516094	seawater metagenome	Only enough water for 2 surface replicates.	1.49	ng/µl	223.5	ng
GOMECC4_27N_Sta1_DCM_B	sample			GOMECC4_27N_Sta1_DCM					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1720	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1720	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		49	49	628		28.592	0.036		8.027		36.325								2033.19	µmol/kg							193.443	µmol/kg																					0	µmol/kg	0	µmol/kg									0.32968	µmol/kg	229.99	µmol/kg	9.40E-09	M	0	µmol/kg	3.805	423	µatm	0.0517	µmol/kg	49	dbar	1.05635	µmol/kg	2371	µmol/kg	4.665	GOMECC4_005	27N	Sta1	not provided	14	B	Plate4_46	GOMECC2021_Plate4	46	F6	SAMN37516095	seawater metagenome		0.6884	ng/µl	103.26	ng
GOMECC4_27N_Sta1_DCM_C	sample			GOMECC4_27N_Sta1_DCM					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1700	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1700	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		49	49	628		28.592	0.036		8.027		36.325								2033.19	µmol/kg							193.443	µmol/kg																					0	µmol/kg	0	µmol/kg									0.32968	µmol/kg	229.99	µmol/kg	9.40E-09	M	0	µmol/kg	3.805	423	µatm	0.0517	µmol/kg	49	dbar	1.05635	µmol/kg	2371	µmol/kg	4.665	GOMECC4_006	27N	Sta1	not provided	14	C	Plate4_54	GOMECC2021_Plate4	54	F7	SAMN37516096	seawater metagenome		1.401	ng/µl	210.15	ng
GOMECC4_27N_Sta1_Surface_A	sample			GOMECC4_27N_Sta1_Surface					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1850	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1850	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		6	6	628		29.574	0.0329		8.03		36.241								2028.08	µmol/kg							194.911	µmol/kg																					0.01268	µmol/kg	0.00195	µmol/kg									0.3014	µmol/kg	233.459	µmol/kg	9.33E-09	M	0.01463	µmol/kg	3.959	422	µatm	0.03804	µmol/kg	6	dbar	1.06124	µmol/kg	2375.61	µmol/kg	4.6578	GOMECC4_007	27N	Sta1	not provided	18	A	Plate4_63	GOMECC2021_Plate4	63	G8	SAMN37516097	seawater metagenome	Collected with hand-niskin at the same site as CTD. Closest bottle number used.	0.9534	ng/µl	143.01	ng
GOMECC4_27N_Sta1_Surface_B	sample			GOMECC4_27N_Sta1_Surface					-79.618	26.997					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T11:00-04:00				marine biome [ENVO:00000447]	marine photic zone [ENVO:00000209]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1920	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1920	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		6	6	628		29.574	0.0329		8.03		36.241								2028.08	µmol/kg							194.911	µmol/kg																					0.01268	µmol/kg	0.00195	µmol/kg									0.3014	µmol/kg	233.459	µmol/kg	9.33E-09	M	0.01463	µmol/kg	3.959	422	µatm	0.03804	µmol/kg	6	dbar	1.06124	µmol/kg	2375.61	µmol/kg	4.6578	GOMECC4_008	27N	Sta1	not provided	18	B	Plate4_66	GOMECC2021_Plate4	66	B9	SAMN37516098	seawater metagenome		0.9594	ng/µl	143.91	ng
GOMECC4_27N_Sta4_Deep_A	sample			GOMECC4_27N_Sta4_Deep					-79.859	26.994					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T19:47-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	2000	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	2000	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		267	267	278		10.082	0.0323		7.86		35.251								2207.87	µmol/kg							124.018	µmol/kg																					25.7345	µmol/kg	0.01269	µmol/kg									0.6307	µmol/kg	97.1223	µmol/kg	1.38E-08	M	25.7472	µmol/kg	1.379	640	µatm	1.60407	µmol/kg	269	dbar	15.1552	µmol/kg	2324.89	µmol/kg	4.6367	GOMECC4_009	27N	Sta4	not provided	3	A	Plate4_64	GOMECC2021_Plate4	64	H8	SAMN37516099	seawater metagenome	DCM was around 75 m. AM cast.	0.09684	ng/µl	14.526	ng
GOMECC4_27N_Sta4_Deep_B	sample			GOMECC4_27N_Sta4_Deep					-79.859	26.994					USA: Atlantic Ocean, east of Florida (27 N)	2021-09-14T19:47-04:00				marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	https://zenodo.org/records/14224755 (v1.1.0) protocol_sampling_sterivex_dry.md	Niskin bottle on CTD rosette	1990	mL	-80	none	P6M	AOML Room 248	AOML Room 248		Pumped through Sterivex filter (0.22-µm) using peristaltic pump	1					no pre-filter	0.22			polyethersulfone	Millipore Sigma Sterivex-GP Pressure Filter Unit, 0.22 µm pore size, polyethersulfone membrane, with Luer outlet, gamma irradiated, sterile	not applicable	not applicable	not applicable	not applicable					2022-03-01	1990	ml	physical | chemical | enzymatic	magnetic beads	https://zenodo.org/records/14224755 (v1.0.0) protocol_extractdna_sterivex_kingfisher.md	ZymoBIOMICS 96 MagBead DNA Kit										Bacteria-16S-V4V5-Parada | Eukarya-18S-V9-Lane-Medlin		267	267	278		10.082	0.0323		7.86		35.251								2207.87	µmol/kg							124.018	µmol/kg																					25.7345	µmol/kg	0.01269	µmol/kg									0.6307	µmol/kg	97.1223	µmol/kg	1.38E-08	M	25.7472	µmol/kg	1.379	640	µatm	1.60407	µmol/kg	269	dbar	15.1552	µmol/kg	2324.89	µmol/kg	4.6386	GOMECC4_010	27N	Sta4	not provided	3	B	Plate4_49	GOMECC2021_Plate4	49	A7	SAMN37516100	seawater metagenome		0.1373	ng/µl	20.595	ng
