# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R	O
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics	User defined
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count	seq_samp_id
EX2301_NTC_NTC01_18S	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_NTC_NTC01_18S	OKEX2301_ROV-D2							EX2301_NTC_NTC01_18S_R1.fastq.gz	EX2301_NTC_NTC01_18S_R2.fastq.gz					
EX2301_EXT_EXT01_18S	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_EXT_EXT01_18S	OKEX2301_ROV-D2							EX2301_EXT_EXT01_18S_R1.fastq.gz	EX2301_EXT_EXT01_18S_R2.fastq.gz					
EX2301_D09_BLW	Metazoa-COI-Leray-Geller		D09-BLK_S50_L001	OKEX2301_ROV-D2							D09-BLK_S50_L001_R1_001.fastq.gz	D09-BLK_S50_L001_R2_001.fastq.gz					
EX2301_D09_BLW	Fish-12S-MiFish-Miya		D09-BLK-12S_S50_L001	OKEX2301_ROV-D2							D09-BLK-12S_S50_L001_R1_001.fastq.gz	D09-BLK-12S_S50_L001_R2_001.fastq.gz					
EX2301_D09_BLW	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D09_BLW_18S	OKEX2301_ROV-D2							EX2301_D09_BLW_18S_R1.fastq.gz	EX2301_D09_BLW_18S_R2.fastq.gz					
EX2301_D09_08W	Metazoa-COI-Leray-Geller		D09-08_S49_L001	OKEX2301_ROV-D2							D09-08_S49_L001_R1_001.fastq.gz	D09-08_S49_L001_R2_001.fastq.gz					
EX2301_D09_08W	Fish-12S-MiFish-Miya		D09-08-12S_S49_L001	OKEX2301_ROV-D2							D09-08-12S_S49_L001_R1_001.fastq.gz	D09-08-12S_S49_L001_R2_001.fastq.gz					
EX2301_D09_08W	Phytoplankton-18S-V4-Stoeck-Piredda		EX2301_D09_08W_18S	OKEX2301_ROV-D2							EX2301_D09_08W_18S_R1.fastq.gz	EX2301_D09_08W_18S_R2.fastq.gz					
EX2301_D09_07W	Metazoa-COI-Leray-Geller		D09-07_S48_L001	OKEX2301_ROV-D2							D09-07_S48_L001_R1_001.fastq.gz	D09-07_S48_L001_R2_001.fastq.gz					
EX2301_D09_07W	Fish-12S-MiFish-Miya		D09-07-12S_S48_L001	OKEX2301_ROV-D2							D09-07-12S_S48_L001_R1_001.fastq.gz	D09-07-12S_S48_L001_R2_001.fastq.gz					
