# requirement_level_code	M	M	M	R	O	O	R	O	M	M	O	O	O	O	R	O	O	O	O	O	O	O	O	O	M	M	O	O	O	M	M	M	R	R	R	HR	HR	HR	HR	HR	O	O	O	R	R	R	O	O	O	HR	HR	R	R	HR	R	HR	HR	HR	HR	R	R	R	O	O	HR	HR	R	R	HR	HR	R	R	R	R	R	O	O	R	O	O	R	R	R	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	R	R	R	R	R	O	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R
# section	Sample information	Sample information	Sample information	Sample relations	Sample relations	Sample relations	Sample relations	Sample relations	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Project	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	User defined	User defined	Environment	Environment	Environment	Environment	Environment	User defined	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Data management	Data management	Sample collection	Nucleic acid extraction	Nucleic acid extraction
samp_name	samp_category	neg_cont_type	pos_cont_type	materialSampleID	sample_derived_from	sample_composed_of	rel_cont_id	biological_rep_relation	decimalLongitude	decimalLatitude	verbatimLongitude	verbatimLatitude	verbatimCoordinateSystem	verbatimSRS	expedition_id	cruiseName	cruiseURL	cruiseStartDate	cruiseEndDate	cruiseLocation	geomeName	geomeURL	expeditionReportName	expeditionReportURL	geo_loc_name	eventDate	eventDurationValue	verbatimEventDate	verbatimEventTime	env_broad_scale	env_local_scale	env_medium	habitat_natural_artificial_0_1	samp_collect_method	samp_collect_device	samp_size	samp_size_unit	samp_store_temp	samp_store_sol	samp_store_dur	samp_store_loc	dna_store_loc	samp_store_method_additional	samp_mat_process	filter_passive_active_0_1	stationed_sample_dur	pump_flow_rate	pump_flow_rate_unit	prefilter_material	size_frac_low	size_frac	filter_diameter	filter_surface_area	filter_material	filter_name	precip_chem_prep	precip_force_prep	precip_time_prep	precip_temp_prep	prepped_samp_store_temp	prepped_samp_store_sol	prepped_samp_store_dur	prep_method_additional	date_ext	samp_vol_we_dna_ext	samp_vol_we_dna_ext_unit	nucl_acid_ext_lysis	nucl_acid_ext_sep	nucl_acid_ext	nucl_acid_ext_kit	nucl_acid_ext_modify	dna_cleanup_0_1	dna_cleanup_method	concentration	concentration_unit	concentration_method	ratioOfAbsorbance260_280	pool_dna_num	nucl_acid_ext_method_additional	samp_weather	minimumDepthInMeters	maximumDepthInMeters	tot_depth_water_col	elev	temp	chlorophyll	light_intensity	ph	ph_meth	salinity	suspend_part_matter	tidal_stage	turbidity	water_current	solar_irradiance	wind_direction	wind_speed	diss_inorg_carb	diss_inorg_carb_unit	diss_inorg_nitro	diss_inorg_nitro_unit	diss_org_carb	diss_org_carb_unit	diss_org_nitro	diss_org_nitro_unit	diss_oxygen	diss_oxygen_unit	tot_diss_nitro	tot_diss_nitro_unit	tot_inorg_nitro	tot_inorg_nitro_unit	tot_nitro	tot_nitro_unit	tot_part_carb	tot_part_carb_unit	tot_org_carb	tot_org_carb_unit	tot_org_c_meth	tot_nitro_content	tot_nitro_content_unit	tot_nitro_cont_meth	tot_carb	tot_carb_unit	part_org_carb	part_org_carb_unit	part_org_nitro	part_org_nitro_unit	nitrate	nitrate_unit	nitrite	nitrite_unit	nitro	nitro_unit	org_carb	org_carb_unit	org_matter	org_matter_unit	org_nitro	org_nitro_unit	dna_conc	dna_conc_unit	ammonium	ammonium_unit	carbonate	carbonate_unit	hydrogen_ion	hydrogen_ion_unit	nitrate_plus_nitrite	nitrate_plus_nitrite_unit	omega_arag	pco2	pco2_unit	phosphate	phosphate_unit	pressure	pressure_unit	silicate	silicate_unit	tot_alkalinity	tot_alkalinity_unit	transmittance	transmittance_unit	serial_number	line_id	station_id	ctd_cast_number	ctd_bottle_number	replicate_number	extract_id	extract_plate	extract_well_number	extract_well_position	biosample_accession	organism	samp_collect_notes	dna_yield	dna_yield_unit
EX2301_NTC_NTC01_18S	negative control	PCR negative		not applicable: control sample					not applicable: control sample	not applicable: control sample					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	not applicable: control sample	not applicable: control sample				missing: not provided	missing: not provided	missing: not provided																																																																																																																																																	
EX2301_EXT_EXT01_18S	negative control	extraction negative		not applicable: control sample					not applicable: control sample	not applicable: control sample					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	not applicable: control sample	not applicable: control sample				missing: not provided	missing: not provided	missing: not provided																																																																																																																																																	
EX2301_D09_BLW	negative control	field negative		EX2301_D09_BLW					not applicable: control sample	not applicable: control sample					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon 2	not applicable: control sample				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														0.5	L															not applicable: control sample	not applicable: control sample			not applicable: control sample					not applicable: control sample																not applicable: control sample	not applicable: control sample																																																											DIVE9									Blank Water Specimen		
EX2301_D09_08W	sample			EX2301_D09_08W					-125.772632	48.17031					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon 2	2023-04-26T22:35:35Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															757.8330078	757.8330078			4.190999985					34.26399994																0.372000009	mg/L																																																											DIVE9									Water sample for eDNA		
EX2301_D09_07W	sample			EX2301_D09_07W					-125.772774	48.170511					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon 2	2023-04-26T22:21:26Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															763.3179932	763.3179932			4.175000191					34.26800156																0.405999988	mg/L																																																											DIVE9									Water sample for eDNA		
EX2301_D09_06W	sample			EX2301_D09_06W					-125.772869	48.170572					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon 2	2023-04-26T22:17:45Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															765.2559814	765.2559814			4.164999962					34.27000046																0.437000006	mg/L																																																											DIVE9									Water sample for eDNA		
EX2301_D09_05W	sample			EX2301_D09_05W					-125.773066	48.170767					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon 2	2023-04-26T22:09:18Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															774.2670288	774.2670288			4.138000011					34.27600098																0.400999993	mg/L																																																											DIVE9									Water sample for eDNA		
EX2301_D09_04W	sample			EX2301_D09_04W					-125.773027	48.170823					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon 2	2023-04-26T22:05:08Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															774.1270142	774.1270142			4.164999962					34.27000046																0.377000004	mg/L																																																											DIVE9									Water sample for eDNA		
EX2301_D08_BLW	negative control	field negative		EX2301_D08_BLW					not applicable: control sample	not applicable: control sample					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon	not applicable: control sample				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														0.5	L															not applicable: control sample	not applicable: control sample			not applicable: control sample					not applicable: control sample																not applicable: control sample	not applicable: control sample																																																											DIVE8									Blank Water Specimen		
EX2301_D08_10W	sample			EX2301_D08_10W					-125.81739	48.154399					EX2301	2023 Shakedown + EXPRESS West Coast Exploration	https://oceanexplorer.noaa.gov/okeanos/explorations/express/ex2301/welcome.html	4/13/23	4/27/23	U.S. Westcoast	EX2301_eDNA (EX2301_eDNA)	https://geome-db.org/record/ark:/21547/FjB2	EX-23-01	https://repository.library.noaa.gov/view/noaa/55891	U.S. Westcoast: Nininat Canyon	2023-04-25T22:44:49Z				missing: not provided	missing: not provided	missing: not provided			ROV				Frozen												0.22														1	L															907.9400024	907.9400024			3.634000063					34.36500168																0.354000002	mg/L																																																											DIVE8	Niskin 5								Niskin 5		
