# requirement_level_code	M	M	M	R	O	O	R	O	M	M	O	O	O	O	R	O	O	O	O	O	O	O	O	O	M	M	O	O	O	M	M	M	R	R	R	HR	HR	HR	HR	HR	O	O	O	R	R	R	O	O	O	HR	HR	R	R	HR	R	HR	HR	HR	HR	R	R	R	O	O	HR	HR	R	R	HR	HR	R	R	R	R	R	O	O	R	O	O	R	R	R	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	O	R	R	R	R	R	O	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	R	O	O	O	O
# section	Sample information	Sample information	Sample information	Sample relations	Sample relations	Sample relations	Sample relations	Sample relations	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Project	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	User defined	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample storage	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Nucleic acid extraction	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	User defined	User defined	Environment	Environment	Environment	Environment	Environment	User defined	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Environment	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample collection	Sample preparation	Sample preparation	Sample preparation	Sample preparation	Data management	Data management	Sample collection	Nucleic acid extraction	Nucleic acid extraction	User defined	User defined	User defined	User defined
samp_name	samp_category	neg_cont_type	pos_cont_type	materialSampleID	sample_derived_from	sample_composed_of	rel_cont_id	biological_rep_relation	decimalLongitude	decimalLatitude	verbatimLongitude	verbatimLatitude	verbatimCoordinateSystem	verbatimSRS	expedition_id	cruiseName	cruiseURL	cruiseStartDate	cruiseEndDate	cruiseLocation	geomeName	geomeURL	expeditionReportName	expeditionReportURL	geo_loc_name	eventDate	eventDurationValue	verbatimEventDate	verbatimEventTime	env_broad_scale	env_local_scale	env_medium	habitat_natural_artificial_0_1	samp_collect_method	samp_collect_device	samp_size	samp_size_unit	samp_store_temp	samp_store_sol	samp_store_dur	samp_store_loc	dna_store_loc	samp_store_method_additional	samp_mat_process	filter_passive_active_0_1	stationed_sample_dur	pump_flow_rate	pump_flow_rate_unit	prefilter_material	size_frac_low	size_frac	filter_diameter	filter_surface_area	filter_material	filter_name	precip_chem_prep	precip_force_prep	precip_time_prep	precip_temp_prep	prepped_samp_store_temp	prepped_samp_store_sol	prepped_samp_store_dur	prep_method_additional	date_ext	samp_vol_we_dna_ext	samp_vol_we_dna_ext_unit	nucl_acid_ext_lysis	nucl_acid_ext_sep	nucl_acid_ext	nucl_acid_ext_kit	nucl_acid_ext_modify	dna_cleanup_0_1	dna_cleanup_method	concentration	concentration_unit	concentration_method	ratioOfAbsorbance260_280	pool_dna_num	nucl_acid_ext_method_additional	samp_weather	minimumDepthInMeters	maximumDepthInMeters	tot_depth_water_col	elev	temp	chlorophyll	light_intensity	ph	ph_meth	salinity	suspend_part_matter	tidal_stage	turbidity	water_current	solar_irradiance	wind_direction	wind_speed	diss_inorg_carb	diss_inorg_carb_unit	diss_inorg_nitro	diss_inorg_nitro_unit	diss_org_carb	diss_org_carb_unit	diss_org_nitro	diss_org_nitro_unit	diss_oxygen	diss_oxygen_unit	tot_diss_nitro	tot_diss_nitro_unit	tot_inorg_nitro	tot_inorg_nitro_unit	tot_nitro	tot_nitro_unit	tot_part_carb	tot_part_carb_unit	tot_org_carb	tot_org_carb_unit	tot_org_c_meth	tot_nitro_content	tot_nitro_content_unit	tot_nitro_cont_meth	tot_carb	tot_carb_unit	part_org_carb	part_org_carb_unit	part_org_nitro	part_org_nitro_unit	nitrate	nitrate_unit	nitrite	nitrite_unit	nitro	nitro_unit	org_carb	org_carb_unit	org_matter	org_matter_unit	org_nitro	org_nitro_unit	dna_conc	dna_conc_unit	ammonium	ammonium_unit	carbonate	carbonate_unit	hydrogen_ion	hydrogen_ion_unit	nitrate_plus_nitrite	nitrate_plus_nitrite_unit	omega_arag	pco2	pco2_unit	phosphate	phosphate_unit	pressure	pressure_unit	silicate	silicate_unit	tot_alkalinity	tot_alkalinity_unit	transmittance	transmittance_unit	serial_number	line_id	station_id	ctd_cast_number	ctd_bottle_number	replicate_number	extract_id	extract_plate	extract_well_number	extract_well_position	biosample_accession	organism	samp_collect_notes	dna_yield	dna_yield_unit	bcid	collectorList	continentOcean	microHabitat
EX2107_D01_01W	sample			EX2107_D01_01W					-77.8532	31.21016					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Reef Tracts	2021-10-27T13:11:33Z	missing: not collected	2021-10-27T13:11:33Z	2021-10-27T13:11:33Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		DNA/RNA Shield												0.45														1.7	L															505.09	505.09	870		18.15					36.49																4.743	mg/L																																																								EX2107_D01_01W			DIVE01	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D01_01	NOAA Ocean Exploration	Atlantic Ocean	Deep Scattering Layer
EX2107_D01_02W	sample			EX2107_D01_02W					-77.8525	31.21166					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Reef Tracts	2021-10-27T13:49:39Z	missing: not collected	2021-10-27T13:49:39Z	2021-10-27T13:49:39Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.7	L															869.233	869.233	871		4.722					35.042																5.252	mg/L																																																								EX2107_D01_02W			DIVE01	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D01_02	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D01_06W	sample			EX2107_D01_06W					-77.8525	31.21058					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Reef Tracts	2021-10-27T16:06:54Z	missing: not collected	2021-10-27T16:06:54Z	2021-10-27T16:06:54Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.7	L															844.68	844.68	847		6.854					35.08																4.752	mg/L																																																								EX2107_D01_06W			DIVE01	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D01_06	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D01_11W	sample			EX2107_D01_11W					-77.853	31.21004					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Reef Tracts	2021-10-27T18:04:49Z	missing: not collected	2021-10-27T18:04:49Z	2021-10-27T18:04:49Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.7	L															809.202	809.202	811		7.67					35.115																4.743	mg/L																																																								EX2107_D01_11W			DIVE01	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D01_11	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D01_13W	sample			EX2107_D01_13W					-77.8549	31.21083					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Reef Tracts	2021-10-27T19:50:36Z	missing: not collected	2021-10-27T19:50:36Z	2021-10-27T19:50:36Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.7	L															802.72	802.72	805		8.846					35.168																4.385	mg/L																																																								EX2107_D01_13W			DIVE01	not applicable: sample group								Collected at 19:48			https://n2t.net/ark:/21547/Fff2EX2107_D01_13	NOAA Ocean Exploration	Atlantic Ocean	Benthic Boundary Layer
EX2107_D03_01W	sample			EX2107_D03_01W					-77.3893	30.70145					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Mid Water North - Blake Plateau	2021-11-01T13:24:04Z	missing: not collected	2021-11-01T13:24:04Z	2021-11-01T13:24:04Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															301.75	301.75	1016		19.131					36.679																6.803	mg/L																																																								EX2107_D03_01W			DIVE03	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D03_01	NOAA Ocean Exploration	Atlantic Ocean	Above DSL
EX2107_D03_02W	sample			EX2107_D03_02W					-77.3955	30.70288					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Mid Water North - Blake Plateau	2021-11-01T14:21:04Z	missing: not collected	2021-11-01T14:21:04Z	2021-11-01T14:21:04Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															501.544	501.544	1016		18.459					36.578																6.425	mg/L																																																								EX2107_D03_02W			DIVE03	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D03_02	NOAA Ocean Exploration	Atlantic Ocean	Above DSL
EX2107_D03_03W	sample			EX2107_D03_03W					-77.402	30.70441					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Mid Water North - Blake Plateau	2021-11-01T15:12:56Z	missing: not collected	2021-11-01T15:12:56Z	2021-11-01T15:12:56Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															601.597	601.597	1016		16.668					36.263																5.762	mg/L																																																								EX2107_D03_03W			DIVE03	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D03_03	NOAA Ocean Exploration	Atlantic Ocean	Deep Scattering Layer
EX2107_D03_06W	sample			EX2107_D03_06W					-77.4154	30.70758					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Mid Water North - Blake Plateau	2021-11-01T17:01:31Z	missing: not collected	2021-11-01T17:01:31Z	2021-11-01T17:01:31Z	marine biome [ENVO:00000447]	marine mesopelagic zone [ENVO:00000213]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer Solution												0.45														1.71	L															902.405	902.405	1016		9.956					35.31																4.737	mg/L																																																								EX2107_D03_06W			DIVE03	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D03_06	NOAA Ocean Exploration	Atlantic Ocean	Below DSL
EX2107_D04_01W	sample			EX2107_D04_01W					-77.3029	30.80556					EX2107	Windows to the Deep 2021: Southeast U.S. ROV and Mapping	https://oceanexplorer.noaa.gov/okeanos/explorations/ex2107/welcome.html	2021-10-26 00:00:00	2021-11-15 00:00:00	Southeast U.S.	EX2107_eDNA (EX2107_eDNA)	https://geome-db.org/record/ark:/21547/Ffd2	EX-21-07	https://repository.library.noaa.gov/view/noaa/42468	Southeast U.S.: Deep Mound - Blake Plateau	2021-11-02T13:09:13Z	missing: not collected	2021-11-02T13:09:13Z	2021-11-02T13:09:13Z	marine biome [ENVO:00000447]	marine bathypelagic zone [ENVO:00000214]	sea water [ENVO:00002149]	0	1.7 liters water by Niskin on D2	ROV	1.7	L		Longmire's Buffer solution												0.45														1.71	L															1003.093	1003.093	1430		7.144					35.133																5.853	mg/L																																																								EX2107_D04_01W			DIVE04	not applicable: sample group											https://n2t.net/ark:/21547/Fff2EX2107_D04_01	NOAA Ocean Exploration	Atlantic Ocean	Below DSL
