# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count
Control10_20190721	Fish-12S-MiFish-Miya-Stoeckle	not provided	Control10_20190721_MiFish_S52	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			Control10_20190721_MiFish_S52_L001_R1_001.fastq.gz	Control10_20190721_MiFish_S52_L001_R2_001.fastq.gz				
Control12_20190731	Fish-12S-MiFish-Miya-Stoeckle	not provided	Control12_20190731_MiFish_S53	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			Control12_20190731_MiFish_S53_L001_R1_001.fastq.gz	Control12_20190731_MiFish_S53_L001_R2_001.fastq.gz				
Control9_20190715	Fish-12S-MiFish-Miya-Stoeckle	not provided	Control9_20190715_MiFish_S51	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			Control9_20190715_MiFish_S51_L001_R1_001.fastq.gz	Control9_20190715_MiFish_S51_L001_R2_001.fastq.gz				
ExtNeg_20190910	Fish-12S-MiFish-Miya-Stoeckle	not provided	ExtNeg_20190910_MiFish_S55	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20190910_MiFish_S55_L001_R1_001.fastq.gz	ExtNeg_20190910_MiFish_S55_L001_R2_001.fastq.gz				
ExtNeg_20190918	Fish-12S-MiFish-Miya-Stoeckle	not provided	ExtNeg_20190918_MiFish_S56	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20190918_MiFish_S56_L001_R1_001.fastq.gz	ExtNeg_20190918_MiFish_S56_L001_R2_001.fastq.gz				
ExtNeg_20191028	Fish-12S-MiFish-Miya-Stoeckle	not provided	ExtNeg_20191028_MiFish_S57	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20191028_MiFish_S57_L001_R1_001.fastq.gz	ExtNeg_20191028_MiFish_S57_L001_R2_001.fastq.gz				
ExtNeg_20191031	Fish-12S-MiFish-Miya-Stoeckle	not provided	ExtNeg_20191031_MiFish_S58	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			ExtNeg_20191031_MiFish_S58_L001_R1_001.fastq.gz	ExtNeg_20191031_MiFish_S58_L001_R2_001.fastq.gz				
GU190706-CTD11-220	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190706-CTD11-220_MiFish_S30	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190706-CTD11-220_MiFish_S30_L001_R1_001.fastq.gz	GU190706-CTD11-220_MiFish_S30_L001_R2_001.fastq.gz				
GU190707-CTD13-310	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190707-CTD13-310_MiFish_S31	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190707-CTD13-310_MiFish_S31_L001_R1_001.fastq.gz	GU190707-CTD13-310_MiFish_S31_L001_R2_001.fastq.gz				
GU190707-CTD14-315	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190707-CTD14-315_MiFish_S32	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190707-CTD14-315_MiFish_S32_L001_R1_001.fastq.gz	GU190707-CTD14-315_MiFish_S32_L001_R2_001.fastq.gz				
GU190708-CTD16-252	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190708-CTD16-252_MiFish_S33	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190708-CTD16-252_MiFish_S33_L001_R1_001.fastq.gz	GU190708-CTD16-252_MiFish_S33_L001_R2_001.fastq.gz				
GU190708-CTD17-171	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190708-CTD17-171_MiFish_S34	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190708-CTD17-171_MiFish_S34_L001_R1_001.fastq.gz	GU190708-CTD17-171_MiFish_S34_L001_R2_001.fastq.gz				
GU190709-CTD20-280	Fish-12S-MiFish-Miya-Stoeckle	not provided	GU190709-CTD20-280_MiFish_S35	rosel_mifish			"Qubit dsDNA HS, Agilent 4200 TapeStation HS DNA1000 and Invitrogen Collibri Library Quantification qPCR assays"	10			GU190709-CTD20-280_MiFish_S35_L001_R1_001.fastq.gz	GU190709-CTD20-280_MiFish_S35_L001_R2_001.fastq.gz				
