featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
010e7a145bf6d7824c0afab445d912db	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
01b20b363c6b6b8077f7938f81522554	0	0	0	0	0	0	0	0	0	0	0	0	0	2013	0	0	0	0	0	2574	0	0	838	3184	0	0	0	2449	0
04722aea39fdae29b213552fb69c7cee	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	672	3	6414	0	0
0518a354c0e4e9fede9f4f671962be3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06faf9ae3ac3f725585afaad1bb1084d	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08c316db9d66f8b80955e688d209cfd1	0	0	0	0	0	0	0	0	0	0	0	0	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0991a124d82cb0e614db3277ccb8517f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3334	0	0	0	0	0	0
09abae9834e42d90a579a88dd9d603e9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0
0af4106f39479b783b2762fa934c9145	0	0	0	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0cdc87cd5a5664c782384df75a9ec283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	883	0	0	0	0	0	0	0
0d07c33c21177924544857315e220938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0
0d1b8811a170641e31b43a4a83525cbe	0	0	0	0	9	0	0	0	0	4321	0	0	0	0	0	0	0	27597	0	0	0	0	0	0	0	20	0	0	0
0e109ee93cfc3665039a35c644d4b0b8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0
0e3cbac91bc6c59295ac1d342b3f2e59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1622	0	0	0
0ea2e0790a9e3f527cc42c0f9d034deb	2	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fafa733e5bdaa8c866c830461995154	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fcfa48aacd14a6e326c91eb6e206af6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0
121eec910075fc2c651c8c99f2bfcd52	0	0	0	0	0	0	0	0	0	997	0	0	0	97	0	0	0	1585	0	0	0	0	0	0	190	544	0	0	0
130a39354b2deecdcc06948c48290343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1542	0	0	0	0	0	0	0	0	0	0	0
132ee8e45e777f7bb252ba344a6fe3a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1044	0	0	0	0	0	0	0	0
13a9742afd747477e65a8563225bf2a9	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14c130abce016dc581cdc6fc338b807d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2333	0	0	0	0	0	0	0
14f4958db335815f97bb8df80fa752d0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	6	0	0	0	0	0	0	0	0	0
15401a5507a01b1dc5c44e4cae01b7f1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
156e2d9209396f421304620472e5ee32	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1586	0	0	0	0	0	0	0	0
1613b76a02e066013d100d1ba12baf4c	0	0	0	0	9	0	0	0	0	20580	10063	0	0	0	0	0	3460	28517	0	2	5226	0	0	0	0	4019	5	0	0
18109634cc2f8e156e5402bf13cf4502	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2379	0	0	0	0	0	0	0	920	0	0	0	0	0
183bc18f3e5eac45c6dd248fb86d64bf	0	0	0	0	0	0	0	5317	8	0	0	0	0	958	0	2811	8170	0	0	0	0	0	0	0	5	0	0	0	0
1b90801bfea1c582499276f6ed9a9df4	0	0	0	0	0	0	0	0	0	0	679	0	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0
1bcb5d84a33eb697519aa0baed8d527e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4383	0	5044	0	373	0	0	0	0	0	0
1cafd52d7b4ed7a4f80f2449577f47f4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1d76e66c16f65627e97a1305eab3bb4b	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0
1eab1579b7694005e8f0b63d93bda116	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200dd669a6d42d489d3be28470a4403f	0	0	0	0	0	0	0	0	0	0	0	0	0	2255	0	0	5823	0	0	977	0	2716	0	0	0	0	0	0	0
203b53b8970fa9044d53378316352034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1155	0	0	0	0	0	0	0
2050d105c4b3974f85aeb52fc2942770	0	0	0	0	0	0	0	0	0	0	0	12400	0	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2092178319f35cd5334d85953f640a1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	3	0	0	0	0
210b39c8c67cc753dadaf9d357be4686	0	0	0	0	0	0	2	0	0	0	0	19850	0	0	0	5	0	0	4864	10	0	0	392	2190	1517	0	0	6644	0
221cebf8d14311e38ea450f11c20a829	0	0	10	0	7	0	0	0	81360	0	13922	0	62675	0	0	0	0	0	5906	0	24928	0	0	27470	17815	0	0	0	0
228e00bb5e09340a9a8ad80c0652f0b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0
2375c162b8a10125bc88a035db50942b	3	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23bcc108bb3782f00f64bd883a73bd83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11338	0	0	0	0	0	0	0	0	0	0	0	0
252e7f0ebec96c6e34c132c93c32c4ed	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5649	0	0	0	0	0	0	662	0	0	0	0	0	0
2675434cbac48d2d77d094671cd740cb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
272424320832756fad82b5f722b90a20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3945	0	0	0	0	0	0	0	0	0	0	0
27ce4ef8aab0e2029cd272404006e061	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27d7f7c7e2801c4bed10c8556d26c87e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4915	0	0	0	0	0	0	0	0	0
27d92168a5952a2ce4aeea158dda2db0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2600	0	0	0	0	0	0	0	0	0
28388a74caf373dfb47998773b761792	0	0	0	0	0	0	0	0	0	0	3050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28fca7046dd486b7ff9eca1d3bcb33c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	653	0	0	0	0	0
2904f05858ff2ea2226e8e9b5b391f05	0	0	0	0	0	0	0	0	0	0	0	0	3133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
291c0abe4e60d4ae92c1a81b2a3f8a80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0
2a1a19941872faad157f0124797d744c	0	0	0	0	0	0	0	0	0	1527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2b59fabd06780a39a020e24344580213	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2bc0c63bedeb896cd3a5245ae00e84fc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	0	905	0	0	0	0
2cc5c1d49462f07d640a232f5db5c9db	0	0	0	0	0	0	0	0	0	0	0	0	0	1620	0	2680	0	0	0	0	0	1660	0	0	0	0	0	0	0
2db56daf135ec618160983846d75154e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0
2f14a6d662b2a1f1cb5e48228ae76f71	0	0	0	0	0	0	0	0	0	0	1258	0	0	0	0	0	0	8452	0	0	0	0	0	0	0	0	0	0	0
2f8a0582dbf460a6f78cdc901610dc0f	0	0	0	0	0	0	0	0	0	0	0	0	0	1640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f995758d5c962bce586d542eb277004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2277	0	0	0	0	0	0	0	0	0	0	0	0
2f9f06af17babd132e0bd1c1d5ce9a50	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2fa64b5258611afaf3289c3ee8f3004b	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2fab6035b33bb0e0e2b0497afa0a7c79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0
31549962994c6f81e7e7ab903be90e67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2512	0	0	0	0	0	0	0
31828d3afa450c773284deab01c5c367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	853	0	0	0	0	0	0	0
33e95fb046ad2a2dda0aac37908d2b26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0	0	0	0	0
3502ccef24c847e21f01940254fd6e29	0	0	0	0	0	0	0	0	0	0	0	0	0	2134	0	0	0	0	0	0	0	0	0	6226	0	84	0	0	0
36376b39b80e40fac4e2f615362bd7c4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1080	0	0	0	0	0	0	0	0	0	0	0	0
3b6cd5378a0dcaefbbdf70f0408619c5	0	0	0	0	0	0	0	0	22272	0	2667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3ba385dabb40e37be2c8c793f0cbedc6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557	0	0	0	0
3c64823f9fe1b8e3dee560e7bb3b193c	0	0	0	0	0	0	0	3	0	0	0	0	0	41727	0	8280	6	0	6439	1547	0	2176	517	3	0	0	3902	0	0
3d05579d16c65c935c17adb6b4f84b4e	0	0	0	0	0	0	0	0	0	0	1394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
408da5f0428345c0aeda2f95a69f2103	0	0	0	0	0	0	0	0	0	0	0	0	0	733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
