featureid	Control10_20190721	Control12_20190731	Control9_20190715	ExtNeg_20190910	ExtNeg_20190918	ExtNeg_20191028	ExtNeg_20191031	GU190706-CTD11-220	GU190707-CTD13-310	GU190707-CTD14-315	GU190708-CTD16-252	GU190708-CTD17-171	GU190709-CTD20-280	GU190710-CTD22-245	GU190710-CTD23-190	GU190714-CTD25-185	GU190714-CTD26-260	GU190715-CTD28-310	GU190721-CTD31-205	GU190722-CTD33-205	GU190724-CTD36-310	GU190727-CTD40-210	GU190727-CTD41B-145	GU190728-CTD43-245	GU190728-CTD44B-125	GU190729-CTD46-240	GU190729-CTD47-140	GU190731-CTD50-150	PCRNeg
173617266b01c5822338e2a3de56ea8b	142	88	23	76	8	17	81	94439	5407	22	5175	162713	40	211787	58169	79855	35708	43	126357	88296	5012	129637	178423	24238	143289	21946	51062	165649	35
b8c407aca42fe67df22b5763fee14642	8	7	56	22	40	0	0	68	210580	1853	1454	9859	171073	2373	0	1951	3287	4027	1092	0	18589	322	2438	48567	8786	99435	12	5	23
4feb4cae27c142cc61d49716415710bb	0	0	15	7	0	11	8	5094	52664	11434	19689	21463	32915	20	0	0	18813	10049	25432	6175	7398	3741	3777	6594	14825	0	17392	9517	9
2201c8f2640bbf5950575d7783ac1db9	0	0	0	16	0	0	0	0	149	0	0	0	0	1498	0	18	212665	0	1	0	0	0	0	0	96	0	0	0	0
345ff01c3e4baee2c1e56426e2da6121	0	25	0	0	0	0	0	11	373	21	12	0	0	0	180819	0	0	0	0	0	0	0	54	0	0	0	0	0	0
8756424d388f0d5747c417ef1d21627b	0	0	5	0	14	0	10	0	267	75811	28089	0	0	1033	0	9140	0	20	12	0	6080	0	0	9329	0	0	0	8502	0
fbc5f1c4b6bd92505e084666e3598c4c	24	0	0	0	0	0	0	0	391	0	0	6	0	104870	0	0	0	0	0	0	0	4068	1171	0	0	0	0	0	0
fd1e3437ec32379444ff34a5cd911452	0	0	5	12	0	22	7	0	238	0	25	17909	5	1877	0	0	15	0	13	10015	5	0	0	0	39698	19	29002	8341	0
33314b4b8a46a30edaa53e3f02d7f925	0	0	4	11	0	10	0	0	43	0	3116	0	0	397	8528	0	12751	0	16	0	2493	0	4	0	26467	0	29584	0	0
97d76a14be6e38a9f5ed893ceeee2059	0	0	0	0	0	21	7	0	0	0	0	24	0	0	0	0	307	0	29	28914	0	1580	0	0	0	0	31226	11678	0
a75febaac22a7655126d4a89c45c8933	0	0	0	0	8	0	0	0	110	41031	1000	8	0	1819	0	170	1495	10429	0	1924	240	6568	532	8177	0	0	0	0	4
b9059151082f294c7116ed698fb867ea	0	0	0	4	0	0	0	0	74	35	36689	0	0	3525	0	0	13617	12207	20	0	4557	1938	0	0	0	0	18	0	0
af25fc3036eeafad6c3db933022db547	0	0	0	0	0	0	0	32	0	0	630	0	0	0	0	56350	0	0	0	0	3190	0	0	6654	0	0	0	0	5
272b952bfc6e84de3e33447c805a19ae	0	7	0	0	0	0	0	12746	388	0	8079	0	0	0	31355	0	0	7415	0	0	1507	0	0	0	0	0	0	0	0
